restaurant,case_study_title,pair_id,variation,factor_changed,variation_summary,algorithm,scenario_name,avg_wait,max_wait,groups_served,table_utilization,service_level_15,max_queue_length_if_available,config_path,arrivals_path
Family Dining,Balanced vs Large-Table-Heavy Layout,family_dinner,A,table size mix,"Balanced 2, 4, and 6-seat layout",custom,family_dinner_A,32.75,71.0,12,43.86,25.0,7,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_3_A/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_3_A/arrivals.txt
Family Dining,Balanced vs Large-Table-Heavy Layout,family_dinner,A,table size mix,"Balanced 2, 4, and 6-seat layout",fcfs,family_dinner_A,4.33,25.0,12,63.61,83.33,3,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_3_A/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_3_A/arrivals.txt
Family Dining,Balanced vs Large-Table-Heavy Layout,family_dinner,A,table size mix,"Balanced 2, 4, and 6-seat layout",size_queue,family_dinner_A,4.33,25.0,12,63.61,83.33,3,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_3_A/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_3_A/arrivals.txt
Family Dining,Balanced vs Large-Table-Heavy Layout,family_dinner,B,table size mix,Large-table-heavy layout,custom,family_dinner_B,34.5,71.0,12,48.36,16.67,8,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_3_B/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_3_B/arrivals.txt
Family Dining,Balanced vs Large-Table-Heavy Layout,family_dinner,B,table size mix,Large-table-heavy layout,fcfs,family_dinner_B,6.25,23.0,12,64.78,83.33,4,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_3_B/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_3_B/arrivals.txt
Family Dining,Balanced vs Large-Table-Heavy Layout,family_dinner,B,table size mix,Large-table-heavy layout,size_queue,family_dinner_B,6.25,23.0,12,64.78,83.33,4,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_3_B/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_3_B/arrivals.txt
Cafe,Two-Seat Heavy vs Mixed Cafe Layout,cafe_lunch,A,table size mix,Mostly 2-seat tables,custom,cafe_lunch_A,49.33,117.0,12,26.61,0.0,10,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_4_A/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_4_A/arrivals.txt
Cafe,Two-Seat Heavy vs Mixed Cafe Layout,cafe_lunch,A,table size mix,Mostly 2-seat tables,fcfs,cafe_lunch_A,10.83,61.0,12,33.64,75.0,3,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_4_A/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_4_A/arrivals.txt
Cafe,Two-Seat Heavy vs Mixed Cafe Layout,cafe_lunch,A,table size mix,Mostly 2-seat tables,size_queue,cafe_lunch_A,10.83,61.0,12,33.64,75.0,3,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_4_A/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_4_A/arrivals.txt
Cafe,Two-Seat Heavy vs Mixed Cafe Layout,cafe_lunch,B,table size mix,Mixed 2-seat and 4-seat layout,custom,cafe_lunch_B,44.0,79.0,12,33.64,0.0,10,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_4_B/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_4_B/arrivals.txt
Cafe,Two-Seat Heavy vs Mixed Cafe Layout,cafe_lunch,B,table size mix,Mixed 2-seat and 4-seat layout,fcfs,cafe_lunch_B,1.67,10.0,12,54.42,100.0,2,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_4_B/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_4_B/arrivals.txt
Cafe,Two-Seat Heavy vs Mixed Cafe Layout,cafe_lunch,B,table size mix,Mixed 2-seat and 4-seat layout,size_queue,cafe_lunch_B,1.67,10.0,12,54.42,100.0,2,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_4_B/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_4_B/arrivals.txt
Fast Food,Limited vs Expanded Rush Capacity,fastfood_rush,A,total seating capacity,Limited rush seating capacity,custom,fastfood_rush_A,44.06,65.0,16,43.15,0.0,14,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_5_A/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_5_A/arrivals.txt
Fast Food,Limited vs Expanded Rush Capacity,fastfood_rush,A,total seating capacity,Limited rush seating capacity,fcfs,fastfood_rush_A,6.5,22.0,16,61.04,93.75,5,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_5_A/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_5_A/arrivals.txt
Fast Food,Limited vs Expanded Rush Capacity,fastfood_rush,A,total seating capacity,Limited rush seating capacity,size_queue,fastfood_rush_A,6.5,22.0,16,61.04,93.75,5,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_5_A/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_5_A/arrivals.txt
Fast Food,Limited vs Expanded Rush Capacity,fastfood_rush,B,total seating capacity,Expanded rush seating capacity,custom,fastfood_rush_B,39.12,57.0,16,36.81,0.0,14,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_5_B/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_5_B/arrivals.txt
Fast Food,Limited vs Expanded Rush Capacity,fastfood_rush,B,total seating capacity,Expanded rush seating capacity,fcfs,fastfood_rush_B,1.56,12.0,16,57.76,100.0,3,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_5_B/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_5_B/arrivals.txt
Fast Food,Limited vs Expanded Rush Capacity,fastfood_rush,B,total seating capacity,Expanded rush seating capacity,size_queue,fastfood_rush_B,1.56,12.0,16,57.76,100.0,3,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_5_B/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_5_B/arrivals.txt
Sushi Belt,Solo-Seat Priority vs More Shared Seating,sushi_belt,A,small-seat vs group-seat emphasis,Many 1-seat and 2-seat spots,custom,sushi_belt_A,28.21,69.0,14,32.34,0.0,9,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_6_A/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_6_A/arrivals.txt
Sushi Belt,Solo-Seat Priority vs More Shared Seating,sushi_belt,A,small-seat vs group-seat emphasis,Many 1-seat and 2-seat spots,fcfs,sushi_belt_A,0.79,11.0,14,54.06,100.0,2,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_6_A/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_6_A/arrivals.txt
Sushi Belt,Solo-Seat Priority vs More Shared Seating,sushi_belt,A,small-seat vs group-seat emphasis,Many 1-seat and 2-seat spots,size_queue,sushi_belt_A,0.79,11.0,14,54.06,100.0,2,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_6_A/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_6_A/arrivals.txt
Sushi Belt,Solo-Seat Priority vs More Shared Seating,sushi_belt,B,small-seat vs group-seat emphasis,Fewer solo spots and more 4-seat tables,custom,sushi_belt_B,32.71,45.0,14,29.37,0.0,10,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_6_B/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_6_B/arrivals.txt
Sushi Belt,Solo-Seat Priority vs More Shared Seating,sushi_belt,B,small-seat vs group-seat emphasis,Fewer solo spots and more 4-seat tables,fcfs,sushi_belt_B,0.0,0.0,14,43.36,100.0,1,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_6_B/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_6_B/arrivals.txt
Sushi Belt,Solo-Seat Priority vs More Shared Seating,sushi_belt,B,small-seat vs group-seat emphasis,Fewer solo spots and more 4-seat tables,size_queue,sushi_belt_B,0.0,0.0,14,43.36,100.0,1,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_6_B/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_6_B/arrivals.txt
KBBQ / Hotpot,Medium-Group Focus vs Large-Group Focus,kbbq_hotpot,A,layout focus for expected group sizes,More 4-seat tables,custom,kbbq_hotpot_A,16.8,57.0,10,58.2,50.0,4,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_7_A/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_7_A/arrivals.txt
KBBQ / Hotpot,Medium-Group Focus vs Large-Group Focus,kbbq_hotpot,A,layout focus for expected group sizes,More 4-seat tables,fcfs,kbbq_hotpot_A,11.5,41.0,10,56.28,60.0,3,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_7_A/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_7_A/arrivals.txt
KBBQ / Hotpot,Medium-Group Focus vs Large-Group Focus,kbbq_hotpot,A,layout focus for expected group sizes,More 4-seat tables,size_queue,kbbq_hotpot_A,11.5,41.0,10,56.28,70.0,3,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_7_A/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_7_A/arrivals.txt
KBBQ / Hotpot,Medium-Group Focus vs Large-Group Focus,kbbq_hotpot,B,layout focus for expected group sizes,More 6-seat tables,custom,kbbq_hotpot_B,22.2,64.0,10,67.26,40.0,5,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_7_B/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_7_B/arrivals.txt
KBBQ / Hotpot,Medium-Group Focus vs Large-Group Focus,kbbq_hotpot,B,layout focus for expected group sizes,More 6-seat tables,fcfs,kbbq_hotpot_B,16.2,41.0,10,60.61,50.0,4,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_7_B/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_7_B/arrivals.txt
KBBQ / Hotpot,Medium-Group Focus vs Large-Group Focus,kbbq_hotpot,B,layout focus for expected group sizes,More 6-seat tables,size_queue,kbbq_hotpot_B,16.2,64.0,10,67.26,50.0,4,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_7_B/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_7_B/arrivals.txt
